session_date,channel,sessions,orders,conversion_rate,revenue_idr,avg_order_value,is_promo_period
2023-01-25,Website,450,27,0.0622,6359988,235555,0
2023-01-26,Shopee,1404,158,0.1129,27844902,176234,0
2023-01-26,Tokopedia,957,106,0.1116,21269357,200654,0
2023-01-26,Website,401,34,0.0858,7513371,220982,0
2023-01-27,Shopee,1049,144,0.1379,27524551,191143,0
2023-01-27,Tokopedia,946,95,0.1014,21957304,231130,0
2023-01-27,Website,367,44,0.1213,7197424,163578,0
2023-01-28,Shopee,1338,143,0.1075,21083816,147439,0
2023-01-28,Tokopedia,903,113,0.1252,24391200,215851,0
2023-01-28,Website,343,23,0.0676,4117663,179029,0
2023-01-29,Shopee,1173,115,0.0985,22514237,195776,0
2023-01-29,Tokopedia,1070,115,0.108,14359783,124868,0
2023-01-29,Website,365,37,0.1029,7855461,212310,0
2023-01-30,Shopee,1620,176,0.1087,36085945,205034,0
2023-01-30,Tokopedia,764,81,0.107,19614474,242154,0
2023-01-30,Website,403,38,0.0965,8837878,232576,0
2023-01-31,Shopee,1352,161,0.1193,27371040,170006,0
2023-01-31,Tokopedia,733,64,0.0876,14450090,225783,0
2023-01-31,Website,441,30,0.0682,8431958,281065,0
2023-02-01,Shopee,1471,207,0.1409,31600729,152661,0
2023-02-01,Tokopedia,931,98,0.1061,19531231,199298,0
2023-02-01,Website,472,42,0.0901,6856461,163249,0
2023-02-02,Shopee,1442,179,0.1245,32965364,184164,0
2023-02-02,Tokopedia,874,106,0.1215,22739217,214521,0
2023-02-02,Website,368,27,0.0751,6180932,228923,0
2023-02-03,Shopee,1446,188,0.1304,36911915,196340,0
2023-02-03,Tokopedia,897,77,0.0867,12216302,158653,0
2023-02-03,Website,456,42,0.0925,9142230,217672,0
2023-02-04,Shopee,1256,115,0.0923,25435594,221179,0
2023-02-04,Tokopedia,848,89,0.1061,18385368,206577,0
2023-02-04,Website,430,41,0.0954,9459417,230717,0
2023-02-05,Shopee,1297,162,0.1256,29602327,182730,0
2023-02-05,Tokopedia,963,72,0.075,16157041,224403,0
2023-02-05,Website,309,22,0.0726,4467241,203056,0
2023-02-06,Shopee,1136,96,0.0849,18550096,193230,0
2023-02-06,Tokopedia,1017,100,0.0987,19028623,190286,0
2023-02-06,Website,390,33,0.0854,7358614,222988,0
2023-02-07,Shopee,1578,203,0.1292,34786467,171362,0
2023-02-07,Tokopedia,997,105,0.1058,17729494,168852,0
2023-02-07,Website,457,50,0.1102,10914256,218285,0
2023-02-08,Shopee,1539,216,0.1408,26591451,123109,0
2023-02-08,Tokopedia,1003,93,0.0928,17917062,192657,0
2023-02-08,Website,512,43,0.0859,9444915,219649,0
2023-02-09,Shopee,1227,163,0.1329,28177797,172870,0
2023-02-09,Tokopedia,535,59,0.1104,11909978,201864,0
2023-02-09,Website,387,41,0.1081,12465727,304042,0
2023-02-10,Shopee,1233,185,0.1501,26097600,141068,0
2023-02-10,Tokopedia,770,120,0.1559,28047244,233727,0
2023-02-10,Website,388,37,0.0969,6472832,174941,0
2023-02-11,Shopee,1377,153,0.1113,30031119,196282,0
2023-02-11,Tokopedia,932,102,0.1103,21188566,207731,0
2023-02-11,Website,387,30,0.08,6707515,223584,0
2023-02-12,Shopee,1251,161,0.1294,28406010,176435,0
2023-02-12,Tokopedia,860,65,0.0765,13727638,211194,0
2023-02-12,Website,382,36,0.0962,7336495,203792,0
2023-02-13,Shopee,1124,147,0.1309,26382643,179474,0
2023-02-13,Tokopedia,820,84,0.1027,13616429,162100,0
2023-02-13,Website,483,42,0.0884,10956083,260859,0
2023-02-14,Shopee,1358,126,0.093,21389162,169755,0
2023-02-14,Tokopedia,900,89,0.0992,14394822,161740,0
2023-02-14,Website,507,42,0.0831,13003377,309604,0
2023-02-15,Shopee,1421,169,0.1194,36581876,216461,0
2023-02-15,Tokopedia,723,82,0.1134,12491440,152335,0
2023-02-15,Website,434,46,0.106,5230526,113707,0
2023-02-16,Shopee,1382,191,0.1382,31924078,167142,0
2023-02-16,Tokopedia,835,96,0.1161,19101796,198977,0
2023-02-16,Website,391,31,0.0808,6182829,199446,0
2023-02-17,Shopee,1364,142,0.1046,24286814,171034,0
2023-02-17,Tokopedia,1140,121,0.1066,20561846,169933,0
2023-02-17,Website,571,69,0.1215,15341722,222344,0
2023-02-18,Shopee,1784,223,0.1252,46442053,208260,0
2023-02-18,Tokopedia,947,120,0.1268,28690093,239084,0
2023-02-18,Website,362,29,0.0813,6368704,219610,0
2023-02-19,Shopee,1563,221,0.1416,39940482,180726,0
2023-02-19,Tokopedia,863,78,0.0912,18750514,240391,0
2023-02-19,Website,358,34,0.095,7651066,225031,0
2023-02-20,Shopee,1097,130,0.1189,20068119,154370,0
2023-02-20,Tokopedia,780,74,0.0953,14496883,195904,0
2023-02-20,Website,475,55,0.1173,10399546,189083,0
2023-02-21,Shopee,1171,187,0.1605,24907935,133198,0
2023-02-21,Tokopedia,849,73,0.0863,15746568,215706,0
2023-02-21,Website,420,43,0.1047,9016744,209692,0
2023-02-22,Shopee,1221,157,0.1291,33137211,211065,0
2023-02-22,Tokopedia,676,69,0.1023,11594369,168034,0
2023-02-22,Website,456,34,0.0754,5506752,161963,0
2023-02-23,Shopee,678,54,0.0806,8707226,161245,0
2023-02-23,Tokopedia,796,87,0.1101,17040282,195865,0
2023-02-23,Website,397,45,0.1138,9852827,218952,0
2023-02-24,Shopee,1075,119,0.1112,22944194,192808,0
2023-02-24,Tokopedia,1141,133,0.1168,30546003,229669,0
2023-02-24,Website,473,36,0.0775,7652385,212566,0
2023-02-25,Shopee,1242,170,0.1374,27988489,164638,0
2023-02-25,Tokopedia,627,48,0.0781,9809242,204359,0
2023-02-25,Website,404,29,0.0737,5708895,196858,0
2023-02-26,Shopee,1310,118,0.0905,22696980,192347,0
2023-02-26,Tokopedia,1162,164,0.1418,33939468,206948,0
2023-02-26,Website,463,35,0.0777,7001788,200051,0
2023-02-27,Shopee,1379,167,0.1215,24514220,146792,0
2023-02-27,Tokopedia,843,87,0.1035,15255267,175348,0
2023-02-27,Website,398,26,0.0662,6603317,253974,0
2023-02-28,Shopee,1410,157,0.1119,23600087,150319,0
2023-02-28,Tokopedia,1007,87,0.087,18893815,217170,0
2023-02-28,Website,421,39,0.0945,9103786,233430,0
2023-03-01,Shopee,1305,131,0.1007,21879868,167022,0
2023-03-01,Tokopedia,648,81,0.1264,17882488,220771,0
2023-03-01,Website,415,36,0.0888,7072229,196451,0
2023-03-02,Shopee,1434,182,0.1269,33557792,184383,0
2023-03-02,Tokopedia,870,83,0.0963,16152176,194605,0
2023-03-02,Website,419,39,0.0933,7625929,195537,0
2023-03-03,Shopee,1352,192,0.1427,32076736,167066,0
2023-03-03,Tokopedia,793,67,0.0849,13782717,205712,0
2023-03-03,Website,568,58,0.1034,10964932,189051,0
2023-03-04,Shopee,1758,122,0.0695,20082373,164610,0
2023-03-04,Tokopedia,828,124,0.1501,26796348,216100,0
2023-03-04,Website,339,34,0.1022,9754733,286904,0
2023-03-05,Shopee,853,61,0.0716,12413838,203506,0
2023-03-05,Tokopedia,985,122,0.1247,17150014,140574,0
2023-03-05,Website,354,25,0.0709,5770284,230811,0
2023-03-06,Shopee,1444,167,0.1162,33006088,197641,0
2023-03-06,Tokopedia,872,120,0.1381,22663670,188864,0
2023-03-06,Website,375,40,0.1079,10499241,262481,0
2023-03-07,Shopee,1613,133,0.083,24604888,184999,0
2023-03-07,Tokopedia,925,122,0.1321,28027581,229734,0
2023-03-07,Website,419,45,0.1075,11181926,248487,0
2023-03-08,Shopee,1526,156,0.1026,28530793,182890,0
2023-03-08,Tokopedia,1038,127,0.1231,21324437,167909,0
2023-03-08,Website,409,30,0.0746,6455600,215187,0
2023-03-09,Shopee,929,140,0.1511,28468072,203343,0
2023-03-09,Tokopedia,740,88,0.1199,19157695,217701,0
2023-03-09,Website,394,37,0.094,8036098,217192,0
2023-03-10,Shopee,1283,139,0.1089,29382756,211387,0
2023-03-10,Tokopedia,626,68,0.1091,13241210,194724,0
2023-03-10,Website,386,23,0.0599,5768010,250783,0
2023-03-11,Shopee,1376,176,0.1284,24962573,141833,0
2023-03-11,Tokopedia,945,120,0.1271,22739986,189500,0
2023-03-11,Website,413,40,0.0973,6693782,167345,0
2023-03-12,Shopee,1151,125,0.1092,25485715,203886,0
2023-03-12,Tokopedia,852,99,0.1163,17892375,180731,0
2023-03-12,Website,435,37,0.0853,9499942,256755,0
2023-03-13,Shopee,1269,124,0.0984,17546785,141506,0
2023-03-13,Tokopedia,1050,131,0.1253,26304556,200798,0
2023-03-13,Website,406,40,0.1003,11091781,277295,0
2023-03-14,Shopee,1254,194,0.1552,36698096,189165,0
2023-03-14,Tokopedia,1130,135,0.1203,23316441,172714,0
2023-03-14,Website,437,34,0.0796,4753375,139805,0
2023-03-15,Shopee,1310,121,0.0927,19047238,157415,0
2023-03-15,Tokopedia,983,119,0.122,25166541,211484,0
2023-03-15,Website,545,55,0.1016,10569196,192167,0
2023-03-16,Shopee,1370,151,0.1104,27122440,179619,0
2023-03-16,Tokopedia,1051,88,0.0837,17307242,196673,0
2023-03-16,Website,469,56,0.1202,14770570,263760,0
2023-03-17,Shopee,1173,130,0.111,23621079,181701,0
2023-03-17,Tokopedia,888,72,0.0815,16346051,227028,0
2023-03-17,Website,499,48,0.0978,9188044,191418,0
2023-03-18,Shopee,1731,247,0.1431,40495592,163950,0
2023-03-18,Tokopedia,783,66,0.0854,10199997,154545,0
2023-03-18,Website,473,37,0.0802,10202134,275733,0
2023-03-19,Shopee,1119,128,0.1147,23435926,183093,0
2023-03-19,Tokopedia,998,107,0.1082,21448979,200458,0
2023-03-19,Website,472,38,0.0808,9281613,244253,0
2023-03-20,Shopee,1147,130,0.1136,25214490,193958,0
2023-03-20,Tokopedia,934,113,0.1211,25883654,229059,0
2023-03-20,Website,501,57,0.1152,9104373,159726,0
2023-03-21,Shopee,1540,217,0.1416,34718398,159993,0
2023-03-21,Tokopedia,841,92,0.1106,18464446,200700,0
2023-03-21,Website,453,45,0.1004,9378922,208420,0
2023-03-22,Shopee,1142,159,0.1399,30058453,189047,0
2023-03-22,Tokopedia,797,75,0.0948,13909848,185465,0
2023-03-22,Website,427,39,0.0917,9217901,236356,0
2023-03-23,Shopee,1279,151,0.1183,27071288,179280,0
2023-03-23,Tokopedia,962,111,0.1161,21692143,195425,0
2023-03-23,Website,416,41,0.1004,8652657,211040,0
2023-03-24,Shopee,1400,171,0.1223,22525037,131725,0
2023-03-24,Tokopedia,812,104,0.1283,19379906,186345,0
2023-03-24,Website,482,46,0.0967,12650507,275011,0
2023-03-25,Shopee,1458,173,0.1187,23946595,138420,0
2023-03-25,Tokopedia,762,83,0.1098,12278322,147932,0
2023-03-25,Website,487,35,0.0732,8077412,230783,0
2023-03-26,Shopee,1555,170,0.1097,27665158,162736,0
2023-03-26,Tokopedia,905,117,0.1293,27488759,234947,0
2023-03-26,Website,387,34,0.0896,7706981,226676,0
2023-03-27,Shopee,1475,228,0.1549,44830691,196626,0
2023-03-27,Tokopedia,814,89,0.1105,20280463,227870,0
2023-03-27,Website,398,41,0.1038,9372600,228600,0
2023-03-28,Shopee,1337,138,0.1038,27405353,198590,0
2023-03-28,Tokopedia,813,80,0.0987,13329576,166620,0
2023-03-28,Website,480,54,0.1139,11690699,216494,0
2023-03-29,Shopee,1179,155,0.132,22782724,146985,0
2023-03-29,Tokopedia,788,100,0.1282,21572316,215723,0
2023-03-29,Website,453,37,0.0823,9204128,248760,0
2023-03-30,Shopee,1530,238,0.1561,28121879,118159,0
2023-03-30,Tokopedia,995,92,0.0934,20191721,219475,0
2023-03-30,Website,537,36,0.0685,8285852,230163,0
2023-03-31,Shopee,1534,180,0.1178,31029448,172386,0
2023-03-31,Tokopedia,818,119,0.146,25800881,216814,0
2023-03-31,Website,458,70,0.1545,13941860,199169,0
2023-04-01,Shopee,1831,249,0.1364,48033365,192905,1
2023-04-01,Tokopedia,1048,125,0.1195,26026153,208209,1
2023-04-01,Website,577,47,0.0824,11241322,239177,1
2023-04-02,Shopee,2010,164,0.0817,29361292,179032,1
2023-04-02,Tokopedia,1235,161,0.131,29611903,183925,1
2023-04-02,Website,443,35,0.0802,10100425,288584,1
2023-04-03,Shopee,1805,256,0.1422,48144352,188064,1
2023-04-03,Tokopedia,1102,126,0.115,21303813,169078,1
2023-04-03,Website,658,63,0.0969,12579938,199682,1
2023-04-04,Shopee,1444,168,0.1167,24719328,147139,1
2023-04-04,Tokopedia,1623,184,0.1137,36652758,199200,1
2023-04-04,Website,615,47,0.0772,10927515,232500,1
2023-04-05,Shopee,1775,262,0.1478,38680850,147637,1
2023-04-05,Tokopedia,1140,99,0.0876,22693417,229226,1
2023-04-05,Website,559,52,0.0936,9585816,184343,1
2023-04-06,Shopee,1333,177,0.1333,32045438,181048,1
2023-04-06,Tokopedia,977,81,0.0831,16667438,205771,1
2023-04-06,Website,537,62,0.117,12376805,199626,1
2023-04-07,Shopee,1959,164,0.084,29216130,178147,1
2023-04-07,Tokopedia,995,92,0.0933,15250175,165763,1
2023-04-07,Website,551,51,0.0929,10202035,200040,1
2023-04-08,Shopee,1717,228,0.1328,35807942,157052,1
2023-04-08,Tokopedia,1372,198,0.1449,32667055,164985,1
2023-04-08,Website,515,43,0.0847,10238317,238100,1
2023-04-09,Shopee,1649,158,0.0959,26757929,169354,1
2023-04-09,Tokopedia,1304,151,0.1162,28877588,191242,1
2023-04-09,Website,637,89,0.1407,20153499,226444,1
2023-04-10,Shopee,2028,224,0.1108,46588402,207984,1
2023-04-10,Tokopedia,822,99,0.1205,24498779,247462,1
2023-04-10,Website,488,56,0.1166,14498384,258900,1
2023-04-11,Shopee,1734,255,0.1474,39846627,156261,1
2023-04-11,Tokopedia,1255,162,0.1294,26781561,165318,1
2023-04-11,Website,530,47,0.0893,10401989,221319,1
2023-04-12,Shopee,1538,184,0.1198,27220669,147938,1
2023-04-12,Tokopedia,1180,143,0.122,27960247,195526,1
2023-04-12,Website,568,51,0.0909,10682041,209452,1
2023-04-13,Shopee,1337,157,0.1178,28225898,179783,1
2023-04-13,Tokopedia,1403,133,0.0949,23979600,180298,1
2023-04-13,Website,467,35,0.0757,8500850,242881,1
2023-04-14,Shopee,1729,200,0.1162,35305175,176526,1
2023-04-14,Tokopedia,1263,109,0.0864,20585009,188853,1
2023-04-14,Website,513,43,0.0842,8971070,208630,1
2023-04-15,Shopee,1581,193,0.1223,34260698,177517,1
2023-04-15,Tokopedia,1106,92,0.0839,23444538,254832,1
2023-04-15,Website,540,54,0.1014,9327159,172725,1
2023-04-16,Shopee,1804,224,0.1245,35752669,159610,1
2023-04-16,Tokopedia,1068,103,0.0969,22239477,215917,1
2023-04-16,Website,491,69,0.1425,14873362,215556,1
2023-04-17,Shopee,1425,177,0.1245,33742561,190636,1
2023-04-17,Tokopedia,1116,108,0.0974,16229947,150277,1
2023-04-17,Website,537,49,0.0921,9690537,197766,1
2023-04-18,Shopee,1773,253,0.1428,51553178,203768,1
2023-04-18,Tokopedia,1183,124,0.1049,18331850,147838,1
2023-04-18,Website,512,47,0.0923,10101163,214918,1
2023-04-19,Shopee,2154,262,0.1219,55461293,211684,1
2023-04-19,Tokopedia,1052,112,0.1068,20240973,180723,1
2023-04-19,Website,561,51,0.0915,11848832,232330,1
2023-04-20,Shopee,1872,252,0.1348,50474801,200297,1
2023-04-20,Tokopedia,1192,121,0.1022,27521537,227451,1
2023-04-20,Website,532,46,0.0883,11060106,240437,1
2023-04-21,Shopee,1702,158,0.093,21387560,135364,1
2023-04-21,Tokopedia,1151,110,0.0959,17954355,163221,1
2023-04-21,Website,604,76,0.1259,18579503,244467,1
2023-04-22,Shopee,1562,187,0.1204,29777994,159241,1
2023-04-22,Tokopedia,1045,119,0.1139,26071308,219087,1
2023-04-22,Website,504,61,0.1213,13269440,217532,1
2023-04-23,Shopee,1480,198,0.1339,36853402,186128,1
2023-04-23,Tokopedia,1093,136,0.1247,27739394,203966,1
2023-04-23,Website,469,49,0.1049,10933735,223137,1
2023-04-24,Shopee,2222,352,0.1586,71603442,203419,1
2023-04-24,Tokopedia,1060,92,0.0876,17970415,195331,1
2023-04-24,Website,512,52,0.1022,12374595,237973,1
2023-04-25,Shopee,1515,221,0.1464,46763376,211599,1
2023-04-25,Tokopedia,1160,117,0.1015,29123187,248916,1
2023-04-25,Website,478,49,0.1042,12058732,246097,1
2023-04-26,Shopee,1510,198,0.1312,36000076,181819,1
2023-04-26,Tokopedia,1021,123,0.1213,18992239,154408,1
2023-04-26,Website,603,47,0.079,11223054,238788,1
2023-04-27,Shopee,1971,268,0.1362,53250292,198695,1
2023-04-27,Tokopedia,1009,77,0.0763,13596169,176574,1
2023-04-27,Website,387,36,0.0931,9229439,256373,1
2023-04-28,Shopee,1440,157,0.1093,34028035,216739,1
2023-04-28,Tokopedia,1215,119,0.0986,20084177,168775,1
2023-04-28,Website,494,49,0.0993,11934413,243559,1
2023-04-29,Shopee,1782,211,0.1185,27592716,130771,1
2023-04-29,Tokopedia,1018,143,0.1408,27868185,194882,1
2023-04-29,Website,512,49,0.0968,10605221,216433,1
2023-04-30,Shopee,1545,254,0.1649,37520181,147717,1
2023-04-30,Tokopedia,1019,119,0.117,19943488,167592,1
2023-04-30,Website,558,51,0.0916,9749706,191171,1
2023-05-01,Shopee,1918,223,0.1168,34607472,155190,1
2023-05-01,Tokopedia,938,91,0.0972,14494950,159285,1
2023-05-01,Website,585,57,0.0986,13586422,238358,1
2023-05-02,Shopee,1686,204,0.1213,28426345,139345,1
2023-05-02,Tokopedia,1259,151,0.1201,25235930,167125,1
2023-05-02,Website,473,36,0.0771,8261302,229481,1
2023-05-03,Shopee,1461,185,0.127,34477461,186365,1
2023-05-03,Tokopedia,1188,139,0.1174,25125958,180762,1
2023-05-03,Website,540,57,0.1065,10491270,184057,1
2023-05-04,Shopee,1980,302,0.1526,64302150,212921,1
2023-05-04,Tokopedia,1063,138,0.13,31460578,227975,1
2023-05-04,Website,533,51,0.0958,10866310,213065,1
2023-05-05,Shopee,1526,173,0.1136,26879983,155376,1
2023-05-05,Tokopedia,1121,114,0.102,23553234,206607,1
2023-05-05,Website,593,57,0.0974,11645968,204315,1
2023-05-06,Shopee,1814,160,0.0883,33795083,211219,1
2023-05-06,Tokopedia,1197,113,0.0945,23166222,205011,1
2023-05-06,Website,556,50,0.0913,11485995,229720,1
2023-05-07,Shopee,1526,232,0.1521,44244925,190711,1
2023-05-07,Tokopedia,888,98,0.1107,20370691,207864,1
2023-05-07,Website,543,38,0.0709,8970631,236069,1
2023-05-08,Shopee,1737,142,0.0819,25096347,176735,1
2023-05-08,Tokopedia,784,124,0.1594,25216027,203355,1
2023-05-08,Website,376,34,0.0912,8180966,240617,1
2023-05-09,Shopee,1790,198,0.1108,30802288,155567,1
2023-05-09,Tokopedia,1047,90,0.0864,15266092,169623,1
2023-05-09,Website,497,57,0.1163,14541476,255114,1
2023-05-10,Shopee,1515,154,0.1019,27410411,177990,1
2023-05-10,Tokopedia,1169,139,0.119,21307346,153290,1
2023-05-10,Website,560,62,0.1112,13132972,211822,1
2023-05-11,Shopee,1852,245,0.1326,47815680,195166,1
2023-05-11,Tokopedia,899,100,0.1114,21783481,217835,1
2023-05-11,Website,637,70,0.11,13931418,199020,1
2023-05-12,Shopee,1997,295,0.1481,54838071,185892,1
2023-05-12,Tokopedia,956,92,0.0966,19876009,216044,1
2023-05-12,Website,606,69,0.1141,17302461,250760,1
2023-05-13,Shopee,1754,217,0.1241,43253188,199323,1
2023-05-13,Tokopedia,924,116,0.1259,28483204,245545,1
2023-05-13,Website,535,49,0.0927,13429582,274073,1
2023-05-14,Shopee,1682,203,0.1213,38164289,188001,1
2023-05-14,Tokopedia,976,116,0.1193,21566926,185922,1
2023-05-14,Website,609,46,0.0757,10655971,231652,1
2023-05-15,Shopee,1998,287,0.1441,41269627,143797,1
2023-05-15,Tokopedia,1150,103,0.0903,19305816,187435,1
2023-05-15,Website,565,42,0.0746,10276796,244686,1
2023-05-16,Shopee,1974,227,0.1151,41666463,183553,1
2023-05-16,Tokopedia,1271,165,0.1304,34557744,209441,1
2023-05-16,Website,609,59,0.0984,13090183,221868,1
2023-05-17,Shopee,1832,204,0.1117,29338918,143818,1
2023-05-17,Tokopedia,1094,101,0.0927,22349828,221285,1
2023-05-17,Website,640,56,0.0879,14520266,259290,1
2023-05-18,Shopee,1988,264,0.1329,47374624,179449,1
2023-05-18,Tokopedia,1299,142,0.1098,33411330,235291,1
2023-05-18,Website,518,36,0.0696,6549318,181926,1
2023-05-19,Shopee,1843,241,0.1309,48698401,202068,1
2023-05-19,Tokopedia,990,116,0.1176,22117685,190670,1
2023-05-19,Website,584,36,0.0619,7477002,207694,1
2023-05-20,Shopee,1908,193,0.1013,32664502,169246,1
2023-05-20,Tokopedia,1428,151,0.1062,34208144,226544,1
2023-05-20,Website,511,51,0.0999,12102208,237298,1
2023-05-21,Shopee,1889,228,0.1212,40017326,175515,1
2023-05-21,Tokopedia,1104,114,0.1035,25437110,223133,1
2023-05-21,Website,379,30,0.0817,6307490,210250,1
2023-05-22,Shopee,1848,214,0.116,41816157,195403,1
2023-05-22,Tokopedia,1110,118,0.1067,19239381,163046,1
2023-05-22,Website,573,54,0.0948,12013236,222467,1
2023-05-23,Shopee,1789,188,0.1056,31686164,168543,1
2023-05-23,Tokopedia,1194,153,0.1282,28527185,186452,1
2023-05-23,Website,545,66,0.1219,15125792,229179,1
2023-05-24,Shopee,1949,221,0.1135,34060071,154118,1
2023-05-24,Tokopedia,1105,135,0.1225,32443833,240325,1
2023-05-24,Website,537,53,0.0993,13236629,249748,1
2023-05-25,Shopee,1570,154,0.0981,30015907,194908,1
2023-05-25,Tokopedia,1264,109,0.0867,26459124,242744,1
2023-05-25,Website,401,43,0.1075,10132885,235648,1
2023-05-26,Shopee,1388,228,0.1648,35164702,154231,1
2023-05-26,Tokopedia,959,115,0.1204,26093233,226898,1
2023-05-26,Website,492,45,0.0918,9745354,216563,1
2023-05-27,Shopee,1885,211,0.112,30331198,143750,1
2023-05-27,Tokopedia,1095,127,0.1163,29427630,231714,1
2023-05-27,Website,657,45,0.0695,10403550,231190,1
2023-05-28,Shopee,1749,216,0.124,29316628,135725,1
2023-05-28,Tokopedia,1224,132,0.1079,34685294,262767,1
2023-05-28,Website,672,68,0.1026,16398829,241159,1
2023-05-29,Shopee,1966,182,0.0926,34768706,191037,1
2023-05-29,Tokopedia,873,94,0.1084,16590892,176499,1
2023-05-29,Website,598,54,0.0905,12378826,229238,1
2023-05-30,Shopee,2317,224,0.0968,39959738,178392,1
2023-05-30,Tokopedia,922,115,0.1255,25485701,221615,1
2023-05-30,Website,589,55,0.0946,15263418,277517,1
2023-05-31,Shopee,1966,205,0.1046,30828790,150384,1
2023-05-31,Tokopedia,1172,113,0.0965,23427769,207325,1
2023-05-31,Website,492,55,0.1125,12666127,230293,1
2023-06-01,Shopee,1325,152,0.1152,29519778,194209,0
2023-06-01,Tokopedia,815,107,0.1321,19623915,183401,0
2023-06-01,Website,362,40,0.1124,10614606,265365,0
2023-06-02,Shopee,1380,167,0.1217,38233987,228946,0
2023-06-02,Tokopedia,862,112,0.13,21278906,189990,0
