snapshot_id,year_month,sku_id,category,subcategory,brand,opening_stock,incoming_qty,sold_qty,closing_stock,sell_through_rate,days_of_inventory,lead_time_days,is_stockout
INV-2023-01-MCO-SH-015,2023-01,MCO-SH-015,Apparel,Shirts,MCC Premium,86,0,43,43,0.5,30,10,0
INV-2023-01-MCO-SH-016,2023-01,MCO-SH-016,Apparel,Shirts,MCC Premium,74,0,17,57,0.2297,101,16,0
INV-2023-01-MCO-SH-017,2023-01,MCO-SH-017,Apparel,Shirts,MCC Standard,83,0,33,50,0.3976,45,14,0
INV-2023-01-MCO-SH-018,2023-01,MCO-SH-018,Apparel,Shirts,MCC Standard,87,0,39,48,0.4483,37,8,0
INV-2023-01-MCO-SH-019,2023-01,MCO-SH-019,Apparel,Shirts,MCC Basic,62,0,16,46,0.2581,86,8,0
INV-2023-01-MCO-SH-020,2023-01,MCO-SH-020,Apparel,Shirts,MCC Standard,46,35,43,38,0.5309,27,10,0
INV-2023-01-MCO-SH-021,2023-01,MCO-SH-021,Apparel,Shirts,MCC Premium,56,0,11,45,0.1964,123,20,0
INV-2023-01-MCO-SH-022,2023-01,MCO-SH-022,Apparel,Shirts,MCC Standard,46,0,6,40,0.1304,200,18,0
INV-2023-01-MCO-SH-023,2023-01,MCO-SH-023,Apparel,Shirts,MCC Basic,48,0,14,34,0.2917,73,18,0
INV-2023-01-MCO-SH-024,2023-01,MCO-SH-024,Apparel,Shirts,MCC Premium,65,0,18,47,0.2769,78,14,0
INV-2023-01-MCO-SH-025,2023-01,MCO-SH-025,Apparel,Shirts,MCC Standard,79,0,9,70,0.1139,233,11,0
INV-2023-01-MCO-SH-026,2023-01,MCO-SH-026,Apparel,Shirts,MCC Standard,88,0,13,75,0.1477,173,18,0
INV-2023-01-MCO-SH-027,2023-01,MCO-SH-027,Apparel,Shirts,MCC Standard,53,0,6,47,0.1132,235,19,0
INV-2023-01-MCO-SH-028,2023-01,MCO-SH-028,Apparel,Shirts,MCC Premium,74,0,13,61,0.1757,141,19,0
INV-2023-01-MCO-SH-029,2023-01,MCO-SH-029,Apparel,Shirts,MCC Premium,89,0,3,86,0.0337,860,19,0
INV-2023-01-MCO-SH-030,2023-01,MCO-SH-030,Apparel,Shirts,MCC Premium,69,0,15,54,0.2174,108,10,0
INV-2023-01-MCO-SH-031,2023-01,MCO-SH-031,Apparel,Shirts,MCC Standard,85,0,11,74,0.1294,202,10,0
INV-2023-01-MCO-SH-032,2023-01,MCO-SH-032,Apparel,Shirts,MCC Standard,64,0,7,57,0.1094,244,7,0
INV-2023-01-MCO-SH-033,2023-01,MCO-SH-033,Apparel,Shirts,MCC Standard,86,0,9,77,0.1047,257,12,0
INV-2023-01-MCO-SH-034,2023-01,MCO-SH-034,Apparel,Shirts,MCC Premium,62,0,6,56,0.0968,280,7,0
INV-2023-01-MCO-SH-035,2023-01,MCO-SH-035,Apparel,Shirts,MCC Premium,65,0,19,46,0.2923,73,10,0
INV-2023-01-MCO-SH-036,2023-01,MCO-SH-036,Apparel,Shirts,MCC Premium,46,0,6,40,0.1304,200,19,0
INV-2023-01-MCO-SH-037,2023-01,MCO-SH-037,Apparel,Shirts,MCC Premium,75,0,6,69,0.08,345,10,0
INV-2023-01-MCO-SH-038,2023-01,MCO-SH-038,Apparel,Shirts,MCC Standard,51,0,7,44,0.1373,189,15,0
INV-2023-01-MCO-SH-039,2023-01,MCO-SH-039,Apparel,Shirts,MCC Standard,87,0,3,84,0.0345,840,8,0
INV-2023-01-MCO-SH-040,2023-01,MCO-SH-040,Apparel,Shirts,MCC Premium,59,0,4,55,0.0678,412,8,0
INV-2023-01-MCO-SH-041,2023-01,MCO-SH-041,Apparel,Shirts,MCC Basic,55,0,2,53,0.0364,795,13,0
INV-2023-01-MCO-SH-042,2023-01,MCO-SH-042,Apparel,Shirts,MCC Basic,53,0,5,48,0.0943,288,20,0
INV-2023-01-MCO-SH-043,2023-01,MCO-SH-043,Apparel,Shirts,MCC Standard,57,0,7,50,0.1228,214,11,0
INV-2023-01-MCO-SH-044,2023-01,MCO-SH-044,Apparel,Shirts,MCC Premium,70,0,7,63,0.1,270,7,0
INV-2023-01-MCO-SH-045,2023-01,MCO-SH-045,Apparel,Shirts,MCC Standard,55,0,15,40,0.2727,80,14,0
INV-2023-01-MCO-SH-046,2023-01,MCO-SH-046,Apparel,Shirts,MCC Standard,71,0,5,66,0.0704,396,10,0
INV-2023-01-MCO-SH-047,2023-01,MCO-SH-047,Apparel,Shirts,MCC Basic,88,0,8,80,0.0909,300,19,0
INV-2023-01-MCO-SH-048,2023-01,MCO-SH-048,Apparel,Shirts,MCC Standard,84,0,7,77,0.0833,330,16,0
INV-2023-01-MCO-SH-049,2023-01,MCO-SH-049,Apparel,Shirts,MCC Standard,49,0,7,42,0.1429,180,15,0
INV-2023-01-MCO-SH-050,2023-01,MCO-SH-050,Apparel,Shirts,MCC Standard,62,0,4,58,0.0645,435,14,0
INV-2023-01-MCO-SH-051,2023-01,MCO-SH-051,Apparel,Shirts,MCC Standard,62,0,6,56,0.0968,280,21,0
INV-2023-01-MCO-SH-052,2023-01,MCO-SH-052,Apparel,Shirts,MCC Premium,78,0,6,72,0.0769,360,9,0
INV-2023-01-MCO-SH-053,2023-01,MCO-SH-053,Apparel,Shirts,MCC Premium,61,0,13,48,0.2131,111,7,0
INV-2023-01-MCO-SH-054,2023-01,MCO-SH-054,Apparel,Shirts,MCC Standard,89,0,7,82,0.0787,351,14,0
INV-2023-01-MCO-SH-055,2023-01,MCO-SH-055,Apparel,Shirts,MCC Premium,49,0,3,46,0.0612,460,11,0
INV-2023-01-MCO-SH-056,2023-01,MCO-SH-056,Apparel,Shirts,MCC Basic,69,0,6,63,0.087,315,19,0
INV-2023-01-MCO-SH-057,2023-01,MCO-SH-057,Apparel,Shirts,MCC Standard,82,0,5,77,0.061,462,17,0
INV-2023-01-MCO-SH-058,2023-01,MCO-SH-058,Apparel,Shirts,MCC Standard,66,0,11,55,0.1667,150,13,0
INV-2023-01-MCO-DR-001,2023-01,MCO-DR-001,Apparel,Dresses,MCC Basic,73,0,5,68,0.0685,408,15,0
INV-2023-01-MCO-DR-002,2023-01,MCO-DR-002,Apparel,Dresses,MCC Standard,50,0,6,44,0.12,220,16,0
INV-2023-01-MCO-DR-003,2023-01,MCO-DR-003,Apparel,Dresses,MCC Standard,89,0,6,83,0.0674,415,11,0
INV-2023-01-MCO-DR-004,2023-01,MCO-DR-004,Apparel,Dresses,MCC Standard,55,0,6,49,0.1091,245,14,0
INV-2023-01-MCO-DR-005,2023-01,MCO-DR-005,Apparel,Dresses,MCC Premium,75,0,5,70,0.0667,420,8,0
INV-2023-01-MCO-DR-006,2023-01,MCO-DR-006,Apparel,Dresses,MCC Premium,88,0,5,83,0.0568,498,11,0
INV-2023-01-MCO-DR-007,2023-01,MCO-DR-007,Apparel,Dresses,MCC Standard,57,0,5,52,0.0877,312,16,0
INV-2023-01-MCO-DR-008,2023-01,MCO-DR-008,Apparel,Dresses,MCC Standard,73,0,2,71,0.0274,999,14,0
INV-2023-01-MCO-DR-009,2023-01,MCO-DR-009,Apparel,Dresses,MCC Standard,56,0,5,51,0.0893,306,14,0
INV-2023-01-MCO-DR-010,2023-01,MCO-DR-010,Apparel,Dresses,MCC Basic,88,0,8,80,0.0909,300,12,0
INV-2023-01-MCO-DR-011,2023-01,MCO-DR-011,Apparel,Dresses,MCC Premium,56,0,1,55,0.0179,999,20,0
INV-2023-01-MCO-DR-012,2023-01,MCO-DR-012,Apparel,Dresses,MCC Basic,77,0,5,72,0.0649,432,10,0
INV-2023-01-MCO-DR-013,2023-01,MCO-DR-013,Apparel,Dresses,MCC Basic,88,0,4,84,0.0455,630,10,0
INV-2023-01-MCO-DR-014,2023-01,MCO-DR-014,Apparel,Dresses,MCC Standard,89,0,1,88,0.0112,999,15,0
INV-2023-01-MCO-DR-015,2023-01,MCO-DR-015,Apparel,Dresses,MCC Standard,71,0,5,66,0.0704,396,20,0
INV-2023-01-MCO-DR-016,2023-01,MCO-DR-016,Apparel,Dresses,MCC Standard,57,0,5,52,0.0877,312,14,0
INV-2023-01-MCO-DR-017,2023-01,MCO-DR-017,Apparel,Dresses,MCC Basic,89,0,0,89,0.0,890,8,0
INV-2023-01-MCO-DR-018,2023-01,MCO-DR-018,Apparel,Dresses,MCC Basic,87,0,5,82,0.0575,492,7,0
INV-2023-01-MCO-DR-019,2023-01,MCO-DR-019,Apparel,Dresses,MCC Premium,58,0,5,53,0.0862,318,9,0
INV-2023-01-MCO-DR-020,2023-01,MCO-DR-020,Apparel,Dresses,MCC Premium,60,0,5,55,0.0833,330,10,0
INV-2023-01-MCO-DR-021,2023-01,MCO-DR-021,Apparel,Dresses,MCC Standard,84,0,2,82,0.0238,999,21,0
INV-2023-01-MCO-DR-022,2023-01,MCO-DR-022,Apparel,Dresses,MCC Premium,65,0,2,63,0.0308,945,18,0
INV-2023-01-MCO-DR-023,2023-01,MCO-DR-023,Apparel,Dresses,MCC Premium,47,0,3,44,0.0638,440,12,0
INV-2023-01-MCO-DR-024,2023-01,MCO-DR-024,Apparel,Dresses,MCC Premium,66,0,3,63,0.0455,630,14,0
INV-2023-01-MCO-DR-025,2023-01,MCO-DR-025,Apparel,Dresses,MCC Standard,76,0,4,72,0.0526,540,18,0
INV-2023-01-MCO-DR-026,2023-01,MCO-DR-026,Apparel,Dresses,MCC Basic,88,0,3,85,0.0341,850,12,0
INV-2023-01-MCO-DR-027,2023-01,MCO-DR-027,Apparel,Dresses,MCC Standard,85,0,4,81,0.0471,608,8,0
INV-2023-01-MCO-DR-028,2023-01,MCO-DR-028,Apparel,Dresses,MCC Basic,59,0,11,48,0.1864,131,20,0
INV-2023-01-MCO-DR-029,2023-01,MCO-DR-029,Apparel,Dresses,MCC Standard,67,0,6,61,0.0896,305,21,0
INV-2023-01-MCO-DR-030,2023-01,MCO-DR-030,Apparel,Dresses,MCC Basic,79,0,2,77,0.0253,999,18,0
INV-2023-01-MCO-DR-031,2023-01,MCO-DR-031,Apparel,Dresses,MCC Basic,77,0,4,73,0.0519,548,10,0
INV-2023-01-MCO-DR-032,2023-01,MCO-DR-032,Apparel,Dresses,MCC Standard,54,0,3,51,0.0556,510,12,0
INV-2023-01-MCO-DR-033,2023-01,MCO-DR-033,Apparel,Dresses,MCC Premium,49,0,8,41,0.1633,154,21,0
INV-2023-01-MCO-DR-034,2023-01,MCO-DR-034,Apparel,Dresses,MCC Standard,78,0,2,76,0.0256,999,7,0
INV-2023-01-MCO-DR-035,2023-01,MCO-DR-035,Apparel,Dresses,MCC Basic,89,0,5,84,0.0562,504,10,0
INV-2023-01-MCO-DR-036,2023-01,MCO-DR-036,Apparel,Dresses,MCC Premium,54,0,3,51,0.0556,510,20,0
INV-2023-01-MCO-DR-037,2023-01,MCO-DR-037,Apparel,Dresses,MCC Basic,54,0,4,50,0.0741,375,21,0
INV-2023-01-MCO-DR-038,2023-01,MCO-DR-038,Apparel,Dresses,MCC Standard,49,0,1,48,0.0204,999,7,0
INV-2023-01-MCO-DR-039,2023-01,MCO-DR-039,Apparel,Dresses,MCC Basic,89,0,3,86,0.0337,860,19,0
INV-2023-01-MCO-DR-040,2023-01,MCO-DR-040,Apparel,Dresses,MCC Standard,46,0,3,43,0.0652,430,19,0
INV-2023-01-MCO-DR-041,2023-01,MCO-DR-041,Apparel,Dresses,MCC Standard,62,0,5,57,0.0806,342,16,0
INV-2023-01-MCO-DR-042,2023-01,MCO-DR-042,Apparel,Dresses,MCC Premium,65,0,6,59,0.0923,295,11,0
INV-2023-01-MCO-DR-043,2023-01,MCO-DR-043,Apparel,Dresses,MCC Standard,51,0,5,46,0.098,276,15,0
INV-2023-01-MCO-PT-001,2023-01,MCO-PT-001,Apparel,Pants,MCC Premium,55,0,2,53,0.0364,795,20,0
INV-2023-01-MCO-PT-002,2023-01,MCO-PT-002,Apparel,Pants,MCC Premium,64,0,5,59,0.0781,354,9,0
INV-2023-01-MCO-PT-003,2023-01,MCO-PT-003,Apparel,Pants,MCC Premium,56,0,3,53,0.0536,530,8,0
INV-2023-01-MCO-PT-004,2023-01,MCO-PT-004,Apparel,Pants,MCC Premium,31,0,2,29,0.0645,435,16,0
INV-2023-01-MCO-PT-005,2023-01,MCO-PT-005,Apparel,Pants,MCC Standard,40,0,4,36,0.1,270,20,0
INV-2023-01-MCO-PT-006,2023-01,MCO-PT-006,Apparel,Pants,MCC Standard,56,0,3,53,0.0536,530,12,0
INV-2023-01-MCO-PT-007,2023-01,MCO-PT-007,Apparel,Pants,MCC Basic,31,0,0,31,0.0,310,8,0
INV-2023-01-MCO-PT-008,2023-01,MCO-PT-008,Apparel,Pants,MCC Premium,48,0,2,46,0.0417,690,19,0
INV-2023-01-MCO-PT-009,2023-01,MCO-PT-009,Apparel,Pants,MCC Premium,67,0,6,61,0.0896,305,13,0
INV-2023-01-MCO-PT-010,2023-01,MCO-PT-010,Apparel,Pants,MCC Standard,68,0,3,65,0.0441,650,21,0
INV-2023-01-MCO-PT-011,2023-01,MCO-PT-011,Apparel,Pants,MCC Standard,67,0,3,64,0.0448,640,14,0
INV-2023-01-MCO-PT-012,2023-01,MCO-PT-012,Apparel,Pants,MCC Basic,54,0,9,45,0.1667,150,21,0
INV-2023-01-MCO-PT-013,2023-01,MCO-PT-013,Apparel,Pants,MCC Premium,64,0,0,64,0.0,640,18,0
INV-2023-01-MCO-PT-014,2023-01,MCO-PT-014,Apparel,Pants,MCC Basic,56,0,2,54,0.0357,810,21,0
INV-2023-01-MCO-PT-015,2023-01,MCO-PT-015,Apparel,Pants,MCC Standard,63,0,3,60,0.0476,600,21,0
INV-2023-01-MCO-PT-016,2023-01,MCO-PT-016,Apparel,Pants,MCC Standard,47,0,11,36,0.234,98,11,0
INV-2023-01-MCO-PT-017,2023-01,MCO-PT-017,Apparel,Pants,MCC Standard,62,0,7,55,0.1129,236,15,0
INV-2023-01-MCO-PT-018,2023-01,MCO-PT-018,Apparel,Pants,MCC Standard,48,0,2,46,0.0417,690,8,0
INV-2023-01-MCO-PT-019,2023-01,MCO-PT-019,Apparel,Pants,MCC Premium,59,0,4,55,0.0678,412,9,0
INV-2023-01-MCO-PT-020,2023-01,MCO-PT-020,Apparel,Pants,MCC Standard,40,0,2,38,0.05,570,12,0
INV-2023-01-MCO-PT-021,2023-01,MCO-PT-021,Apparel,Pants,MCC Standard,35,0,1,34,0.0286,999,16,0
INV-2023-01-MCO-PT-022,2023-01,MCO-PT-022,Apparel,Pants,MCC Standard,50,0,6,44,0.12,220,10,0
INV-2023-01-MCO-PT-023,2023-01,MCO-PT-023,Apparel,Pants,MCC Standard,50,0,2,48,0.04,720,17,0
INV-2023-01-MCO-PT-024,2023-01,MCO-PT-024,Apparel,Pants,MCC Basic,39,0,7,32,0.1795,137,15,0
INV-2023-01-MCO-PT-025,2023-01,MCO-PT-025,Apparel,Pants,MCC Standard,35,0,5,30,0.1429,180,15,0
INV-2023-01-MCO-PT-026,2023-01,MCO-PT-026,Apparel,Pants,MCC Standard,32,0,5,27,0.1562,162,15,0
INV-2023-01-MCO-PT-027,2023-01,MCO-PT-027,Apparel,Pants,MCC Standard,57,0,3,54,0.0526,540,10,0
INV-2023-01-MCO-PT-028,2023-01,MCO-PT-028,Apparel,Pants,MCC Standard,48,0,0,48,0.0,480,15,0
INV-2023-01-MCO-OW-001,2023-01,MCO-OW-001,Apparel,Outerwear,MCC Premium,49,0,2,47,0.0408,705,21,0
INV-2023-01-MCO-OW-002,2023-01,MCO-OW-002,Apparel,Outerwear,MCC Premium,66,0,5,61,0.0758,366,13,0
INV-2023-01-MCO-OW-003,2023-01,MCO-OW-003,Apparel,Outerwear,MCC Standard,53,0,1,52,0.0189,999,8,0
INV-2023-01-MCO-OW-004,2023-01,MCO-OW-004,Apparel,Outerwear,MCC Basic,48,0,3,45,0.0625,450,16,0
INV-2023-01-MCO-OW-005,2023-01,MCO-OW-005,Apparel,Outerwear,MCC Standard,34,0,0,34,0.0,340,12,0
INV-2023-01-MCO-OW-006,2023-01,MCO-OW-006,Apparel,Outerwear,MCC Standard,59,0,6,53,0.1017,265,11,0
INV-2023-01-MCO-OW-007,2023-01,MCO-OW-007,Apparel,Outerwear,MCC Standard,31,0,5,26,0.1613,156,10,0
INV-2023-01-MCO-OW-008,2023-01,MCO-OW-008,Apparel,Outerwear,MCC Standard,37,0,5,32,0.1351,192,7,0
INV-2023-01-MCO-OW-009,2023-01,MCO-OW-009,Apparel,Outerwear,MCC Standard,61,0,7,54,0.1148,231,18,0
INV-2023-01-MCO-OW-010,2023-01,MCO-OW-010,Apparel,Outerwear,MCC Basic,43,0,5,38,0.1163,228,10,0
INV-2023-01-MCO-OW-011,2023-01,MCO-OW-011,Apparel,Outerwear,MCC Premium,54,0,3,51,0.0556,510,14,0
INV-2023-01-MCO-OW-012,2023-01,MCO-OW-012,Apparel,Outerwear,MCC Standard,47,0,3,44,0.0638,440,19,0
INV-2023-01-MCO-OW-013,2023-01,MCO-OW-013,Apparel,Outerwear,MCC Standard,39,0,1,38,0.0256,999,12,0
INV-2023-01-MCO-OW-014,2023-01,MCO-OW-014,Apparel,Outerwear,MCC Standard,55,0,5,50,0.0909,300,21,0
INV-2023-01-MCO-OW-015,2023-01,MCO-OW-015,Apparel,Outerwear,MCC Standard,58,0,1,57,0.0172,999,20,0
INV-2023-01-MCO-OW-016,2023-01,MCO-OW-016,Apparel,Outerwear,MCC Premium,36,0,9,27,0.25,90,14,0
INV-2023-01-MCO-OW-017,2023-01,MCO-OW-017,Apparel,Outerwear,MCC Standard,48,0,5,43,0.1042,258,16,0
INV-2023-01-MCO-OW-018,2023-01,MCO-OW-018,Apparel,Outerwear,MCC Standard,66,0,0,66,0.0,660,14,0
INV-2023-01-MCO-OW-019,2023-01,MCO-OW-019,Apparel,Outerwear,MCC Standard,52,0,3,49,0.0577,490,10,0
INV-2023-01-MCO-OW-020,2023-01,MCO-OW-020,Apparel,Outerwear,MCC Basic,60,0,0,60,0.0,600,10,0
INV-2023-01-MCO-OW-021,2023-01,MCO-OW-021,Apparel,Outerwear,MCC Premium,63,0,0,63,0.0,630,11,0
INV-2023-01-MCO-OW-022,2023-01,MCO-OW-022,Apparel,Outerwear,MCC Standard,34,0,5,29,0.1471,174,20,0
INV-2023-01-MCO-OW-023,2023-01,MCO-OW-023,Apparel,Outerwear,MCC Standard,40,0,0,40,0.0,400,20,0
INV-2023-01-MCO-BG-001,2023-01,MCO-BG-001,Accessories,Bags,MCC Standard,167,22,1,188,0.0053,999,16,0
INV-2023-01-MCO-BG-002,2023-01,MCO-BG-002,Accessories,Bags,MCC Premium,150,39,0,189,0.0,999,18,0
INV-2023-01-MCO-BG-003,2023-01,MCO-BG-003,Accessories,Bags,MCC Basic,95,34,0,129,0.0,999,19,0
INV-2023-01-MCO-BG-004,2023-01,MCO-BG-004,Accessories,Bags,MCC Premium,168,42,0,210,0.0,999,21,0
INV-2023-01-MCO-BG-005,2023-01,MCO-BG-005,Accessories,Bags,MCC Standard,96,33,0,129,0.0,999,7,0
INV-2023-01-MCO-BG-006,2023-01,MCO-BG-006,Accessories,Bags,MCC Basic,98,26,1,123,0.0081,999,15,0
INV-2023-01-MCO-BG-007,2023-01,MCO-BG-007,Accessories,Bags,MCC Premium,123,41,0,164,0.0,999,15,0
INV-2023-01-MCO-BG-008,2023-01,MCO-BG-008,Accessories,Bags,MCC Premium,108,45,0,153,0.0,999,17,0
INV-2023-01-MCO-BG-009,2023-01,MCO-BG-009,Accessories,Bags,MCC Standard,162,21,0,183,0.0,999,8,0
INV-2023-01-MCO-BG-010,2023-01,MCO-BG-010,Accessories,Bags,MCC Premium,126,18,0,144,0.0,999,21,0
INV-2023-01-MCO-BG-011,2023-01,MCO-BG-011,Accessories,Bags,MCC Basic,108,19,0,127,0.0,999,15,0
INV-2023-01-MCO-BG-012,2023-01,MCO-BG-012,Accessories,Bags,MCC Premium,133,22,0,155,0.0,999,11,0
INV-2023-01-MCO-BG-013,2023-01,MCO-BG-013,Accessories,Bags,MCC Basic,94,15,0,109,0.0,999,10,0
INV-2023-01-MCO-BG-014,2023-01,MCO-BG-014,Accessories,Bags,MCC Basic,115,48,2,161,0.0123,999,14,0
INV-2023-01-MCO-BG-015,2023-01,MCO-BG-015,Accessories,Bags,MCC Premium,105,44,0,149,0.0,999,11,0
INV-2023-01-MCO-BG-016,2023-01,MCO-BG-016,Accessories,Bags,MCC Standard,149,36,0,185,0.0,999,7,0
INV-2023-01-MCO-BG-017,2023-01,MCO-BG-017,Accessories,Bags,MCC Basic,109,45,0,154,0.0,999,20,0
INV-2023-01-MCO-BG-018,2023-01,MCO-BG-018,Accessories,Bags,MCC Premium,123,39,0,162,0.0,999,13,0
INV-2023-01-MCO-BG-019,2023-01,MCO-BG-019,Accessories,Bags,MCC Standard,158,26,0,184,0.0,999,12,0
INV-2023-01-MCO-BG-020,2023-01,MCO-BG-020,Accessories,Bags,MCC Premium,105,37,0,142,0.0,999,11,0
INV-2023-01-MCO-BG-021,2023-01,MCO-BG-021,Accessories,Bags,MCC Premium,141,36,0,177,0.0,999,14,0
INV-2023-01-MCO-BG-022,2023-01,MCO-BG-022,Accessories,Bags,MCC Premium,100,38,0,138,0.0,999,15,0
INV-2023-01-MCO-BG-023,2023-01,MCO-BG-023,Accessories,Bags,MCC Premium,95,27,0,122,0.0,999,15,0
INV-2023-01-MCO-BG-024,2023-01,MCO-BG-024,Accessories,Bags,MCC Basic,121,43,0,164,0.0,999,21,0
INV-2023-01-MCO-BG-025,2023-01,MCO-BG-025,Accessories,Bags,MCC Standard,152,19,0,171,0.0,999,12,0
INV-2023-01-MCO-BG-026,2023-01,MCO-BG-026,Accessories,Bags,MCC Standard,166,38,0,204,0.0,999,8,0
INV-2023-01-MCO-BG-027,2023-01,MCO-BG-027,Accessories,Bags,MCC Standard,140,32,1,171,0.0058,999,19,0
INV-2023-01-MCO-BG-028,2023-01,MCO-BG-028,Accessories,Bags,MCC Premium,152,29,0,181,0.0,999,11,0
INV-2023-01-MCO-BG-029,2023-01,MCO-BG-029,Accessories,Bags,MCC Standard,95,37,0,132,0.0,999,21,0
INV-2023-01-MCO-BG-030,2023-01,MCO-BG-030,Accessories,Bags,MCC Premium,143,25,2,166,0.0119,999,20,0
INV-2023-01-MCO-BG-031,2023-01,MCO-BG-031,Accessories,Bags,MCC Standard,160,15,0,175,0.0,999,8,0
INV-2023-01-MCO-BG-032,2023-01,MCO-BG-032,Accessories,Bags,MCC Standard,142,24,0,166,0.0,999,16,0
INV-2023-01-MCO-BG-033,2023-01,MCO-BG-033,Accessories,Bags,MCC Standard,145,27,1,171,0.0058,999,15,0
INV-2023-01-MCO-BG-034,2023-01,MCO-BG-034,Accessories,Bags,MCC Standard,150,32,0,182,0.0,999,12,0
INV-2023-01-MCO-BG-035,2023-01,MCO-BG-035,Accessories,Bags,MCC Standard,146,39,2,183,0.0108,999,16,0
INV-2023-01-MCO-BG-036,2023-01,MCO-BG-036,Accessories,Bags,MCC Standard,119,32,1,150,0.0066,999,10,0
INV-2023-01-MCO-BG-037,2023-01,MCO-BG-037,Accessories,Bags,MCC Standard,118,42,0,160,0.0,999,10,0
INV-2023-01-MCO-BG-038,2023-01,MCO-BG-038,Accessories,Bags,MCC Standard,112,23,0,135,0.0,999,17,0
INV-2023-01-MCO-JW-001,2023-01,MCO-JW-001,Accessories,Jewelry,MCC Standard,44,0,1,43,0.0227,999,15,0
INV-2023-01-MCO-JW-002,2023-01,MCO-JW-002,Accessories,Jewelry,MCC Standard,37,0,1,36,0.027,999,9,0
INV-2023-01-MCO-JW-003,2023-01,MCO-JW-003,Accessories,Jewelry,MCC Basic,35,0,2,33,0.0571,495,12,0
INV-2023-01-MCO-JW-004,2023-01,MCO-JW-004,Accessories,Jewelry,MCC Standard,69,0,1,68,0.0145,999,13,0
INV-2023-01-MCO-JW-005,2023-01,MCO-JW-005,Accessories,Jewelry,MCC Premium,34,0,1,33,0.0294,990,12,0
INV-2023-01-MCO-JW-006,2023-01,MCO-JW-006,Accessories,Jewelry,MCC Standard,53,0,3,50,0.0566,500,19,0
INV-2023-01-MCO-JW-007,2023-01,MCO-JW-007,Accessories,Jewelry,MCC Premium,45,0,5,40,0.1111,240,19,0
INV-2023-01-MCO-JW-008,2023-01,MCO-JW-008,Accessories,Jewelry,MCC Premium,53,0,1,52,0.0189,999,18,0
INV-2023-01-MCO-JW-009,2023-01,MCO-JW-009,Accessories,Jewelry,MCC Basic,61,0,3,58,0.0492,580,21,0
INV-2023-01-MCO-JW-010,2023-01,MCO-JW-010,Accessories,Jewelry,MCC Standard,66,0,1,65,0.0152,999,17,0
INV-2023-01-MCO-JW-011,2023-01,MCO-JW-011,Accessories,Jewelry,MCC Standard,45,0,0,45,0.0,450,14,0
INV-2023-01-MCO-JW-012,2023-01,MCO-JW-012,Accessories,Jewelry,MCC Standard,47,0,4,43,0.0851,322,12,0
INV-2023-01-MCO-JW-013,2023-01,MCO-JW-013,Accessories,Jewelry,MCC Standard,52,0,2,50,0.0385,750,17,0
INV-2023-01-MCO-JW-014,2023-01,MCO-JW-014,Accessories,Jewelry,MCC Standard,63,0,2,61,0.0317,915,9,0
INV-2023-01-MCO-JW-015,2023-01,MCO-JW-015,Accessories,Jewelry,MCC Premium,44,0,4,40,0.0909,300,14,0
INV-2023-01-MCO-JW-016,2023-01,MCO-JW-016,Accessories,Jewelry,MCC Premium,39,0,1,38,0.0256,999,19,0
INV-2023-01-MCO-JW-017,2023-01,MCO-JW-017,Accessories,Jewelry,MCC Basic,51,0,0,51,0.0,510,15,0
